"No","Yes",""
0.996192569047714,0.00380743095228576,1272
0.743926065328514,0.256073934671486,1273
0.999976515577639,2.34844223604503e-05,1274
0.0364475989758166,0.963552401024183,1275
0.995408575695804,0.00459142430419611,1276
0.530773179920641,0.469226820079359,1277
0.915083616216923,0.0849163837830767,1278
0.239073233027562,0.760926766972438,1279
0.997976978939914,0.00202302106008598,1280
0.304887538959476,0.695112461040523,1281
0.999796630675255,0.000203369324744598,1282
0.962205303267324,0.037794696732676,1283
0.974102696950462,0.0258973030495378,1284
0.999049449209867,0.000950550790133074,1285
0.883565882647972,0.116434117352028,1286
0.875058160690671,0.124941839309329,1287
0.960010685395688,0.039989314604312,1288
0.826722008548346,0.173277991451654,1289
0.999957241656943,4.27583430566152e-05,1290
0.99835383022362,0.00164616977637962,1291
0.997970981519423,0.00202901848057715,1292
0.999812979675603,0.0001870203243971,1293
0.929480257482896,0.0705197425171045,1294
0.974445410419336,0.0255545895806637,1295
0.996903549973588,0.00309645002641211,1296
0.144118737028906,0.855881262971094,1297
0.999917997555386,8.20024446135063e-05,1298
0.999987254246997,1.27457530028719e-05,1299
0.994748528829471,0.00525147117052879,1300
0.880716466987273,0.119283533012727,1301
0.999997128756051,2.8712439495002e-06,1302
0.987241240585011,0.0127587594149886,1303
0.118432507573635,0.881567492426365,1304
0.988077023152177,0.0119229768478231,1305
0.997558027791868,0.00244197220813158,1306
0.991200052085296,0.00879994791470357,1307
0.729342277924382,0.270657722075618,1308
0.41880773235918,0.58119226764082,1309
0.28566276726367,0.71433723273633,1310
0.99667680056935,0.00332319943065,1311
0.999997020923087,2.97907691340155e-06,1312
0.969586252965405,0.0304137470345946,1313
0.645179480435419,0.354820519564581,1314
0.998718048028436,0.001281951971564,1315
0.870797192599659,0.129202807400341,1316
0.0933698606398942,0.906630139360106,1317
0.00966318687345945,0.990336813126541,1318
0.558881234006017,0.441118765993983,1319
0.999999219305098,7.80694902277897e-07,1320
0.707691824765721,0.292308175234279,1321
0.927140946578796,0.0728590534212045,1322
0.999137884189505,0.00086211581049509,1323
0.984570392367233,0.0154296076327674,1324
0.148653423493535,0.851346576506465,1325
0.550183954248699,0.449816045751301,1326
0.578205444304376,0.421794555695624,1327
0.277503850571602,0.722496149428398,1328
0.356044280993022,0.643955719006978,1329
0.889182580557122,0.110817419442878,1330
0.951324599842144,0.0486754001578562,1331
0.874826388305711,0.125173611694289,1332
0.476028155492459,0.523971844507541,1333
0.909545978002296,0.0904540219977042,1334
0.905502630696341,0.0944973693036593,1335
0.35869076171681,0.64130923828319,1336
0.999994094014566,5.905985433906e-06,1337
0.537164274408623,0.462835725591377,1338
0.973448900468595,0.026551099531405,1339
0.653257091145117,0.346742908854883,1340
0.131000331471415,0.868999668528585,1341
0.69387401163137,0.30612598836863,1342
0.428757264339131,0.571242735660869,1343
0.650954511524833,0.349045488475167,1344
0.914904711115089,0.0850952888849111,1345
0.930417590330444,0.0695824096695561,1346
0.851646337300026,0.148353662699974,1347
0.660790603604936,0.339209396395064,1348
0.999942900898583,5.70991014172084e-05,1349
0.99955706749811,0.000442932501889861,1350
0.191015359870238,0.808984640129762,1351
0.97981651427626,0.0201834857237401,1352
0.682407285518749,0.317592714481251,1353
0.987863911672355,0.0121360883276452,1354
0.999995399933657,4.60006634300336e-06,1355
0.957753103500935,0.0422468964990645,1356
0.999801838449497,0.000198161550503473,1357
0.057677429754129,0.942322570245871,1358
0.999551656178992,0.000448343821008058,1359
0.992814885722541,0.00718511427745882,1360
0.950436982018305,0.0495630179816946,1361
0.991397678182958,0.00860232181704185,1362
0.998894066900805,0.00110593309919526,1363
0.791488711349183,0.208511288650817,1364
0.41891271864798,0.58108728135202,1365
0.426822202967693,0.573177797032307,1366
0.480602124283168,0.519397875716832,1367
0.95700328654288,0.0429967134571196,1368
0.999986909117486,1.30908825139214e-05,1369
0.961276744040045,0.0387232559599549,1370
0.9999999582894,4.17106004214059e-08,1371
0.934355958998917,0.0656440410010829,1372
0.957648036047836,0.0423519639521643,1373
0.979684939471005,0.0203150605289949,1374
0.999154496744153,0.000845503255847356,1375
0.175695492052025,0.824304507947975,1376
0.844752541711463,0.155247458288537,1377
0.852593541822031,0.147406458177969,1378
0.602670988547175,0.397329011452825,1379
0.999998605409345,1.39459065500087e-06,1380
0.147562229774604,0.852437770225396,1381
0.984593057255079,0.0154069427449215,1382
0.989287673283503,0.010712326716497,1383
0.906948730575122,0.0930512694248779,1384
0.954204823590066,0.0457951764099342,1385
0.44151846996019,0.55848153003981,1386
0.522097869336027,0.477902130663973,1387
0.982723304054793,0.0172766959452073,1388
0.74399965696666,0.25600034303334,1389
0.997708095352873,0.00229190464712672,1390
0.98190490877275,0.0180950912272502,1391
0.499019026220556,0.500980973779444,1392
0.999999913365119,8.66348809312425e-08,1393
0.999999942625071,5.73749289808401e-08,1394
0.734682370550798,0.265317629449202,1395
0.937719265763296,0.0622807342367037,1396
0.506319232305087,0.493680767694913,1397
0.895444605020731,0.104555394979269,1398
0.162004479106115,0.837995520893885,1399
0.999067276015533,0.000932723984466963,1400
0.439991397270649,0.560008602729351,1401
0.192887307264292,0.807112692735708,1402
0.999999700359122,2.9964087812313e-07,1403
0.156301133321639,0.843698866678361,1404
0.684784522392031,0.315215477607969,1405
0.746565454741841,0.253434545258159,1406
0.570121226808521,0.429878773191479,1407
0.909993487861593,0.0900065121384075,1408
0.999998803595923,1.19640407700304e-06,1409
0.9998860794493,0.000113920550700281,1410
0.425921534967824,0.574078465032176,1411
0.895529042153072,0.104470957846928,1412
0.999994924697077,5.07530292346618e-06,1413
0.530720459140572,0.469279540859428,1414
0.998062396886309,0.00193760311369081,1415
0.780653157647354,0.219346842352646,1416
0.11678643300207,0.88321356699793,1417
0.530451768766739,0.469548231233261,1418
0.99693792814128,0.00306207185871958,1419
0.416630437998687,0.583369562001313,1420
0.0140103272299124,0.985989672770088,1421
0.999999883849876,1.16150124334419e-07,1422
0.999983414123809,1.65858761906071e-05,1423
0.880623395427391,0.119376604572609,1424
0.999970504575772,2.94954242276392e-05,1425
0.96276106443328,0.0372389355667204,1426
0.982880720691513,0.017119279308487,1427
0.949356238589493,0.0506437614105073,1428
0.305819850145956,0.694180149854044,1429
0.999997325488313,2.67451168732149e-06,1430
0.999998000534066,1.99946593447838e-06,1431
0.989371150145032,0.0106288498549681,1432
0.999397046145302,0.000602953854698035,1433
0.968957891227163,0.0310421087728365,1434
0.983935316513037,0.0160646834869632,1435
0.708519883632263,0.291480116367737,1436
0.982537098431904,0.0174629015680962,1437
0.984582797055417,0.0154172029445833,1438
0.042454574683612,0.957545425316388,1439
0.994302325971782,0.00569767402821821,1440
0.0663483004839888,0.933651699516011,1441
0.112780457800056,0.887219542199944,1442
0.991992318127454,0.00800768187254578,1443
0.0354764348660509,0.964523565133949,1444
0.0344134350888394,0.965586564911161,1445
0.520433163624703,0.479566836375297,1446
0.556359341059585,0.443640658940415,1447
0.998515033153258,0.00148496684674237,1448
0.277474690713734,0.722525309286266,1449
0.404509066759583,0.595490933240417,1450
0.638627669493694,0.361372330506307,1451
0.938571540290267,0.0614284597097334,1452
0.983093703907618,0.0169062960923826,1453
0.943264895351064,0.0567351046489359,1454
0.0443016368479771,0.955698363152023,1455
0.0934663068814891,0.906533693118511,1456
0.538354574502862,0.461645425497138,1457
0.138308872718975,0.861691127281025,1458
0.211790230423345,0.788209769576655,1459
0.300915318891501,0.699084681108499,1460
0.723079707444903,0.276920292555097,1461
0.710847662023513,0.289152337976487,1462
0.563315288096956,0.436684711903044,1463
0.949324210119348,0.0506757898806523,1464
0.370539794831721,0.629460205168279,1465
0.98082811140789,0.0191718885921102,1466
0.933312849262498,0.0666871507375015,1467
0.00963552917065803,0.990364470829342,1468
0.999996511710848,3.48828915213955e-06,1469
0.800783792150103,0.199216207849897,1470
